"Floor Schedule"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Level"	"Volume"	"Area"	"Default Thickness"	"Family"	"Type"	"Height Offset From Level"	"Perimeter"
""	""	""	""	""	""	""	""
"G/F"	"2.13 m³"	"14 m²"	"150"	"Floor"	"mm 150"	"5150"	"26586"
"G/F"	"4.86 m³"	"32 m²"	"150"	"Floor"	"150mm"	"6531"	"23714"
"G/F"	"3.52 m³"	"23 m²"	"150"	"Floor"	"mm 150"	"6602"	"19529"
"G/F"	"6.24 m³"	"42 m²"	"150"	"Floor"	"mm 150"	"6500"	"26234"
"G/F"	"244.51 m³"	"1630 m²"	"150"	"Floor"	"150mm"	"0"	"184465"
"G/F"	"0.60 m³"	"4 m²"	"150"	"Floor"	"150mm"	"3480"	"8028"
"G/F"	"9.51 m³"	"29 m²"	"330"	"Floor"	"330mm"	"3630"	"34999"
"G/F"	"5.10 m³"	"15 m²"	"330"	"Floor"	"330mm"	"3300"	"33315"
"G/F"	"4.94 m³"	"15 m²"	"330"	"Floor"	"330mm"	"2970"	"32324"
"G/F"	"4.78 m³"	"14 m²"	"330"	"Floor"	"330mm"	"2640"	"31332"
"G/F"	"4.61 m³"	"14 m²"	"330"	"Floor"	"330mm"	"2310"	"30244"
"G/F"	"4.45 m³"	"13 m²"	"330"	"Floor"	"330mm"	"1980"	"29234"
"G/F"	"4.27 m³"	"13 m²"	"330"	"Floor"	"330mm"	"1650"	"28130"
"G/F"	"4.11 m³"	"12 m²"	"330"	"Floor"	"330mm"	"1320"	"27110"
"G/F"	"3.94 m³"	"12 m²"	"330"	"Floor"	"330mm"	"990"	"26049"
"G/F"	"3.77 m³"	"11 m²"	"330"	"Floor"	"330mm"	"660"	"25028"
"G/F"	"3.60 m³"	"11 m²"	"330"	"Floor"	"330mm"	"330"	"23967"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"110"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"220"	"2700"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"440"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"550"	"2700"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"770"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"880"	"2700"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"1100"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"1210"	"2700"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"1430"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"1540"	"2700"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"1760"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"1870"	"2700"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"2090"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"2200"	"2700"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"2420"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"2530"	"2700"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"2750"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"2860"	"2700"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"3080"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"3190"	"2700"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"3410"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"3520"	"2700"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"110"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"220"	"2700"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"440"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"550"	"2700"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"770"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"880"	"2700"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"1100"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"1210"	"2700"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"1430"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"1540"	"2700"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"1760"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"1870"	"2700"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"2090"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"2200"	"2700"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"2420"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"2530"	"2700"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"2750"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"2860"	"2700"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"3080"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"3190"	"2700"
"G/F"	"0.03 m³"	"0 m²"	"110"	"Floor"	"110mm"	"3410"	"2700"
"G/F"	"0.06 m³"	"0 m²"	"220"	"Floor"	"220mm"	"3520"	"2700"
"1/F"	"170.97 m³"	"1140 m²"	"150"	"Floor"	"150mm"	"0"	"291517"
"1/F"	"1.80 m³"	"12 m²"	"150"	"Floor"	"150mm"	"-2500"	"14341"
"1/F"	"1.53 m³"	"14 m²"	"110"	"Floor"	"110mm"	"-1753"	"15612"
"1/F"	"1.32 m³"	"12 m²"	"110"	"Floor"	"110mm"	"-2572"	"13884"
"2F"	"173.07 m³"	"1154 m²"	"150"	"Floor"	"150mm"	"0"	"260655"
"2F"	"4.71 m³"	"31 m²"	"150"	"Floor"	"mm 150"	"0"	"28479"
"3F"	"172.49 m³"	"1150 m²"	"150"	"Floor"	"150mm"	"0"	"246361"
"3F"	"4.75 m³"	"32 m²"	"150"	"Floor"	"mm 150"	"0"	"28919"
"4F"	"176.17 m³"	"1174 m²"	"150"	"Floor"	"150mm"	"0"	"245806"
"4F"	"0.77 m³"	"7 m²"	"110"	"Floor"	"110mm"	"3366"	"10654"
"5F"	"174.75 m³"	"1165 m²"	"150"	"Floor"	"150mm"	"0"	"240919"
"5F"	"3.97 m³"	"26 m²"	"150"	"Floor"	"mm 150"	"0"	"26102"
"RF"	"164.52 m³"	"1097 m²"	"150"	"Floor"	"150mm"	"0"	"263209"
"RF"	"6.24 m³"	"42 m²"	"150"	"Floor"	"mm 150"	"2300"	"27303"
"RF"	"30.78 m³"	"205 m²"	"150"	"Floor"	"mm 150"	"2300"	"61435"
"RF"	"7.62 m³"	"51 m²"	"150"	"Floor"	"mm 150"	"3500"	"28512"
"RF"	"7.43 m³"	"50 m²"	"150"	"Floor"	"mm 150"	"2500"	"32164"
"RF"	"1.48 m³"	"10 m²"	"150"	"Floor"	"mm 150"	"2223"	"13238"
"RF"	"2.04 m³"	"14 m²"	"150"	"Floor"	"mm 150"	"2300"	"16678"
