"Wall Schedule"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Family"	"Base Constraint"	"Top Offset"	"Top Constraint"	"Unconnected Height"	"Volume"	"Area"	"Width"	"Length"	"Type"
""	""	""	""	""	""	""	""	""	""
"Basic Wall"	""	""	""	""	"36.84 m³"	"184 m²"	"200"	""	"CG - 200mm 3"
"Basic Wall"	""	""	""	""	"36.84 m³"	"184 m²"	"200"	""	"CG - 200mm 3"
"Basic Wall"	""	""	""	""	"35.83 m³"	"179 m²"	"200"	""	"CG - 200mm 3"
"Basic Wall"	""	""	""	""	"35.83 m³"	"179 m²"	"200"	""	"CG - 200mm 3"
"Basic Wall"	""	""	""	""	"35.83 m³"	"179 m²"	"200"	""	"CG - 200mm 3"
"Basic Wall"	""	""	""	""	"34.37 m³"	"172 m²"	"200"	""	"CG - 200mm 3"
"Basic Wall"	""	""	""	""	"34.37 m³"	"172 m²"	"200"	""	"CG - 200mm 3"
"Basic Wall"	""	""	""	""	"34.37 m³"	"172 m²"	"200"	""	"CG - 200mm 3"
"Basic Wall"	""	""	""	""	"18.35 m³"	"92 m²"	"200"	""	"CG - 200mm 3"
"Basic Wall"	""	""	""	""	"18.08 m³"	"90 m²"	"200"	""	"CG - 200mm 3"
"Basic Wall"	""	""	""	""	"10.21 m³"	"51 m²"	"200"	""	"CG - 200mm 3"
"Basic Wall"	""	""	""	""	"9.83 m³"	"49 m²"	"200"	""	"CG - 200mm 3"
"Basic Wall"	""	""	""	""	"1.30 m³"	"7 m²"	"200"	""	"CG - 200mm 3"
"Basic Wall"	""	""	""	""	"1.30 m³"	"7 m²"	"200"	""	"CG - 200mm 3"
"Basic Wall"	""	""	""	""	"0.90 m³"	"4 m²"	"200"	""	"CG - 200mm 3"
"Basic Wall"	""	""	""	""	"0.90 m³"	"4 m²"	"200"	""	"CG - 200mm 3"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"33.25 m³"	"66 m²"	"500"	"7314"	"CG - 500"
